2020-01-23 14:59:24 INFO  DeleteSecurityGroups:85 - Exception SecurityGroupId : sg-05d7b371cabcea070 | Message : The security group 'sg-05d7b371cabcea070' does not exist (Service: Ec2, Status Code: 400, Request ID: 21f08595-42e4-42aa-9af9-a7bee4864ea2)
2020-01-23 14:59:24 INFO  DeleteSecurityGroups:90 - SecurityGroupId : sg-05d7b371cabcea070 | Status : Error
2020-01-23 14:59:25 INFO  DeleteSecurityGroups:85 - Exception SecurityGroupId : sg-02f55370ec049509f | Message : The security group 'sg-02f55370ec049509f' does not exist (Service: Ec2, Status Code: 400, Request ID: 67c7f583-787f-4d1f-9d1c-734f592df1ba)
2020-01-23 14:59:25 INFO  DeleteSecurityGroups:90 - SecurityGroupId : sg-02f55370ec049509f | Status : Error
2020-01-23 14:59:25 INFO  DeleteSecurityGroups:85 - Exception SecurityGroupId : sg-09e82798dea364e8a | Message : resource sg-09e82798dea364e8a has a dependent object (Service: Ec2, Status Code: 400, Request ID: 426f13c3-8270-4213-846a-5747d35775ac)
2020-01-23 14:59:25 INFO  DeleteSecurityGroups:90 - SecurityGroupId : sg-09e82798dea364e8a | Status : Error
2020-01-23 14:59:26 INFO  DeleteSecurityGroups:85 - Exception SecurityGroupId : sg-09c28c1a1e1bba293 | Message : The security group 'sg-09c28c1a1e1bba293' does not exist (Service: Ec2, Status Code: 400, Request ID: 3ea9ca09-6e63-434b-94a0-374dc3f83c2c)
2020-01-23 14:59:26 INFO  DeleteSecurityGroups:90 - SecurityGroupId : sg-09c28c1a1e1bba293 | Status : Error
2020-01-23 14:59:26 INFO  DeleteSecurityGroups:63 - Completed Delete SecurityGroups process
2020-01-23 15:03:47 INFO  DeleteSecurityGroups:33 - Started Delete SecurityGroups process
2020-01-23 15:03:49 INFO  DeleteSecurityGroups:87 - Exception SecurityGroupId : sg-ed6effc4 | Message : the specified group: "sg-ed6effc4" name: "default" cannot be deleted by a user (Service: Ec2, Status Code: 400, Request ID: 4751c472-d3b0-432b-a3b8-53a80fb2c401)
2020-01-23 15:03:49 INFO  DeleteSecurityGroups:92 - SecurityGroupId : sg-ed6effc4 | Status : Error
